Timestamp,Hour_of_Day,Day_of_Week,Total_Requests,Successful_Requests,Failed_Requests,Success_Rate_%,Avg_Latency_ms,Peak_RPS,Active_Clients,Data_Transferred_MB
2026-02-03 05:00:00,5,Tuesday,1280,1262,18,98.59,412,0.7,338,20.48
2026-02-03 06:00:00,6,Tuesday,1566,1549,17,98.91,458,0.8,363,25.06
2026-02-03 07:00:00,7,Tuesday,2472,2434,38,98.46,392,1.4,313,39.55
2026-02-03 08:00:00,8,Tuesday,1709,1686,23,98.65,460,0.9,398,27.34
2026-02-03 09:00:00,9,Tuesday,3452,3412,40,98.84,542,1.9,345,55.23
2026-02-03 10:00:00,10,Tuesday,3384,3332,52,98.46,487,2.0,397,54.14
2026-02-03 11:00:00,11,Tuesday,3197,3159,38,98.81,384,1.7,255,51.15
2026-02-03 12:00:00,12,Tuesday,2292,2257,35,98.47,543,1.4,342,36.67
2026-02-03 13:00:00,13,Tuesday,2416,2386,30,98.76,535,1.3,319,38.66
2026-02-03 14:00:00,14,Tuesday,3505,3457,48,98.63,530,1.8,175,56.08
2026-02-03 15:00:00,15,Tuesday,3285,3227,58,98.23,446,2.2,243,52.56
2026-02-03 16:00:00,16,Tuesday,3552,3516,36,98.99,511,2.2,211,56.83
2026-02-03 17:00:00,17,Tuesday,3230,3172,58,98.2,540,1.8,310,51.68
2026-02-03 18:00:00,18,Tuesday,2331,2304,27,98.84,412,1.4,249,37.3
2026-02-03 19:00:00,19,Tuesday,2280,2246,34,98.51,406,1.2,220,36.48
2026-02-03 20:00:00,20,Tuesday,2019,1997,22,98.91,527,1.4,287,32.3
2026-02-03 21:00:00,21,Tuesday,1356,1340,16,98.82,416,0.9,184,21.7
2026-02-03 22:00:00,22,Tuesday,1625,1607,18,98.89,437,0.9,188,26.0
2026-02-03 23:00:00,23,Tuesday,1333,1317,16,98.8,465,0.8,174,21.33
2026-02-04 00:00:00,0,Wednesday,1262,1247,15,98.81,440,0.9,205,20.19
2026-02-04 01:00:00,1,Wednesday,1324,1303,21,98.41,465,0.8,170,21.18
2026-02-04 02:00:00,2,Wednesday,1352,1329,23,98.3,390,0.7,234,21.63
2026-02-04 03:00:00,3,Wednesday,1386,1364,22,98.41,544,0.7,258,22.18
2026-02-04 04:00:00,4,Wednesday,859,849,10,98.84,439,0.6,236,13.74
2026-02-04 05:00:00,5,Wednesday,866,854,12,98.61,541,0.5,288,13.86
2026-02-04 06:00:00,6,Wednesday,2057,2022,35,98.3,489,1.1,194,32.91
2026-02-04 07:00:00,7,Wednesday,2482,2447,35,98.59,499,1.4,228,39.71
2026-02-04 08:00:00,8,Wednesday,2371,2347,24,98.99,512,1.6,278,37.94
2026-02-04 09:00:00,9,Wednesday,3166,3116,50,98.42,381,2.0,389,50.66
2026-02-04 10:00:00,10,Wednesday,3401,3334,67,98.03,408,1.8,300,54.42
2026-02-04 11:00:00,11,Wednesday,3222,3175,47,98.54,424,2.1,379,51.55
2026-02-04 12:00:00,12,Wednesday,2257,2217,40,98.23,463,1.2,228,36.11
2026-02-04 13:00:00,13,Wednesday,2219,2195,24,98.92,492,1.2,344,35.5
2026-02-04 14:00:00,14,Wednesday,3576,3531,45,98.74,500,2.3,272,57.22
2026-02-04 15:00:00,15,Wednesday,3671,3614,57,98.45,389,2.0,335,58.74
2026-02-04 16:00:00,16,Wednesday,3535,3482,53,98.5,428,2.3,375,56.56
2026-02-04 17:00:00,17,Wednesday,3295,3239,56,98.3,525,1.8,201,52.72
2026-02-04 18:00:00,18,Wednesday,2088,2049,39,98.13,381,1.4,387,33.41
2026-02-04 19:00:00,19,Wednesday,2542,2500,42,98.35,456,1.5,179,40.67
2026-02-04 20:00:00,20,Wednesday,2525,2488,37,98.53,441,1.6,372,40.4
2026-02-04 21:00:00,21,Wednesday,1714,1696,18,98.95,388,1.2,174,27.42
2026-02-04 22:00:00,22,Wednesday,1404,1386,18,98.72,495,0.7,200,22.46
2026-02-04 23:00:00,23,Wednesday,1850,1821,29,98.43,393,1.1,399,29.6
