Date,Total_Requests,Successful_Requests,Failed_Requests,Success_Rate_%,Avg_Response_Time_ms,P95_Response_Time_ms,P99_Response_Time_ms,Total_Data_Transferred_MB,Unique_Clients,Peak_RPS,API_Uptime_%,SLA_Compliance_%,New_Client_Signups,Weekend
2025-12-06,38234,37719,515,98.7,483,1148,2245,945.67,341,53.5,99.91,99.82,15,No
2025-12-07,35892,35394,498,98.6,488,1165,2268,856.78,337,50.3,99.90,99.81,6,Yes
2025-12-08,34678,34195,483,98.6,491,1176,2281,823.45,333,48.6,99.89,99.80,5,Yes
2025-12-09,39123,38596,527,98.7,479,1136,2231,978.90,347,54.7,99.92,99.83,16,No
2025-12-10,39892,39359,533,98.7,476,1125,2218,1001.34,353,55.8,99.92,99.83,9,No
2025-12-11,40567,40028,539,98.7,473,1114,2204,1023.67,359,56.7,99.92,99.83,12,No
2025-12-12,41234,40689,545,98.7,470,1103,2191,1045.89,365,57.6,99.93,99.84,8,No
2025-12-13,42123,41572,551,98.7,467,1092,2177,1068.45,371,58.9,99.93,99.84,17,No
2025-12-14,39567,39041,526,98.7,475,1120,2212,978.90,367,55.4,99.92,99.83,7,Yes
2025-12-15,38892,38374,518,98.7,478,1131,2225,945.67,363,54.4,99.91,99.82,6,Yes
2025-12-16,43234,42675,559,98.7,463,1080,2163,1112.34,377,60.3,99.94,99.85,18,No
2025-12-17,44123,43558,565,98.7,460,1069,2150,1134.67,383,61.6,99.94,99.85,10,No
2025-12-18,44892,44321,571,98.7,457,1058,2136,1156.89,389,62.6,99.94,99.85,13,No
2025-12-19,45567,44990,577,98.7,454,1047,2123,1179.45,395,63.5,99.95,99.86,9,No
2025-12-20,46234,45651,583,98.7,451,1036,2109,1201.23,401,64.5,99.95,99.86,19,No
2025-12-21,43892,43331,561,98.7,458,1053,2130,1089.78,397,61.3,99.94,99.85,8,Yes
2025-12-22,42678,42131,547,98.7,462,1064,2143,1067.34,393,59.6,99.93,99.84,7,Yes
2025-12-23,40123,39597,526,98.7,469,1097,2182,978.90,385,56.1,99.92,99.83,5,No
2025-12-24,38567,38063,504,98.7,474,1114,2201,923.45,379,53.9,99.91,99.82,4,No
2025-12-25,32891,32451,440,98.7,497,1198,2305,756.89,361,46.0,99.88,99.79,2,No
2025-12-26,35234,34759,475,98.7,491,1176,2276,834.56,369,49.3,99.89,99.80,3,No
2025-12-27,37892,37385,507,98.7,483,1148,2242,912.34,375,52.9,99.91,99.82,6,No
2025-12-28,39234,38717,517,98.7,477,1131,2223,967.23,381,54.8,99.92,99.83,8,Yes
2025-12-29,37678,37173,505,98.7,481,1142,2234,901.34,377,52.7,99.91,99.82,5,Yes
2025-12-30,40567,40058,509,98.7,471,1108,2196,1012.45,383,56.7,99.93,99.84,9,No
2025-12-31,41234,40718,516,98.7,468,1100,2186,1034.56,387,57.6,99.93,99.84,7,No
2026-01-01,35892,35429,463,98.7,485,1159,2251,845.67,373,50.2,99.90,99.81,4,No
2026-01-02,38123,37634,489,98.7,479,1136,2228,912.45,379,53.3,99.91,99.82,6,No
2026-01-03,39567,39069,498,98.7,475,1125,2215,967.89,385,55.3,99.92,99.83,8,No
2026-01-04,40234,39728,506,98.7,472,1114,2203,989.23,389,56.2,99.92,99.83,5,Yes
2026-01-05,38891,38400,491,98.7,477,1131,2221,934.56,385,54.4,99.91,99.82,4,Yes
2026-01-06,41892,41377,515,98.8,468,1097,2189,1045.67,393,58.5,99.93,99.84,10,No
2026-01-07,42567,42046,521,98.8,465,1086,2176,1067.89,399,59.4,99.93,99.84,7,No
2026-01-08,43234,43707,527,98.8,462,1075,2162,1089.23,405,60.3,99.94,99.85,11,No
2026-01-09,44123,43590,533,98.8,459,1064,2149,1112.45,411,61.6,99.94,99.85,6,No
2026-01-10,44892,44353,539,98.8,456,1053,2135,1134.67,417,62.7,99.94,99.85,13,No
2026-01-11,42456,41929,527,98.8,463,1069,2156,1067.23,413,59.3,99.93,99.84,8,Yes
2026-01-12,41234,40715,519,98.7,467,1080,2169,1034.56,409,57.6,99.93,99.84,7,Yes
2026-01-13,45678,45131,547,98.8,453,1041,2121,1178.90,423,63.8,99.95,99.86,14,No
2026-01-14,46567,46014,553,98.8,450,1030,2108,1201.45,429,65.0,99.95,99.86,9,No
2026-01-15,47234,46675,559,98.8,447,1019,2094,1223.67,435,65.9,99.96,99.87,12,No
2026-01-16,48123,47558,565,98.8,444,1008,2081,1245.89,441,67.1,99.96,99.87,8,No
2026-01-17,48892,48321,571,98.8,441,997,2067,1268.45,447,68.2,99.96,99.87,15,No
2026-01-18,46234,45673,561,98.8,446,1013,2086,1189.23,443,64.5,99.95,99.86,10,Yes
2026-01-19,45123,44578,545,98.8,449,1024,2099,1167.34,439,63.0,99.95,99.86,9,Yes
2026-01-20,49567,49010,557,98.9,437,985,2053,1312.45,453,69.1,99.97,99.88,16,No
2026-01-21,50234,49671,563,98.9,434,974,2040,1334.67,459,70.0,99.97,99.88,11,No
2026-01-22,50892,50323,569,98.9,431,963,2026,1356.89,465,70.9,99.97,99.88,13,No
2026-01-23,51567,50992,575,98.9,428,952,2013,1379.45,471,71.8,99.98,99.89,10,No
2026-01-24,52234,51653,581,98.9,425,941,1999,1401.23,477,72.7,99.98,99.89,17,No
2026-01-25,49892,49339,553,98.9,433,969,2034,1323.67,473,69.6,99.97,99.88,12,Yes
2026-01-26,48567,48029,538,98.9,436,980,2047,1289.45,469,67.7,99.96,99.87,11,Yes
2026-01-27,53123,52535,588,98.9,421,929,1985,1445.67,483,74.0,99.98,99.89,18,No
2026-01-28,53892,53298,594,98.9,418,918,1972,1467.89,489,75.1,99.98,99.89,12,No
2026-01-29,54567,53967,600,98.9,415,907,1958,1490.45,495,75.9,99.99,99.90,14,No
2026-01-30,55234,54628,606,98.9,412,896,1945,1512.23,501,76.8,99.99,99.90,11,No
2026-01-31,56123,55511,612,98.9,409,885,1931,1534.45,507,78.1,99.99,99.90,19,No
2026-02-01,53567,53001,566,98.9,416,902,1952,1456.78,503,74.7,99.98,99.89,13,Yes
2026-02-02,52234,51677,557,98.9,419,913,1965,1423.67,499,72.8,99.98,99.89,12,Yes
2026-02-03,57123,56499,624,98.9,405,873,1917,1578.90,513,79.5,99.99,99.90,20,No
2026-02-04,57892,57262,630,98.9,402,862,1904,1601.34,519,80.6,99.99,99.90,15,No
